year,title,vol,pages,words,word_source,pdf_present,xml_present,scraped_at
1999,7,11,1212,672566,xml,True,True,2026-05-12
1999,7,12,389,240305,xml,True,True,2026-05-12
1999,7,13,706,447423,xml,True,True,2026-05-12
1999,7,14,865,546303,xml,True,True,2026-05-12
1999,7,15,569,297571,xml,True,True,2026-05-12
1999,8,1,754,468148,xml,True,True,2026-05-12
1999,9,1,888,539739,xml,True,True,2026-05-12
1999,9,2,779,462701,xml,True,True,2026-05-12
1999,10,1,876,509769,xml,True,True,2026-05-12
1999,10,2,711,430105,xml,True,True,2026-05-12
1999,10,3,684,298236,xml,True,True,2026-05-12
1999,10,4,895,515586,xml,True,True,2026-05-12
1999,11,1,418,211723,xml,True,True,2026-05-12
1999,12,1,343,197674,xml,True,True,2026-05-12
1999,12,2,420,252779,xml,True,True,2026-05-12
1999,12,3,844,546547,xml,True,True,2026-05-12
1999,12,4,538,318887,xml,True,True,2026-05-12
1999,12,5,518,305942,xml,True,True,2026-05-12
1999,12,6,957,556607,xml,True,True,2026-05-12
1999,13,1,529,296988,xml,True,True,2026-05-12
1999,14,1,1059,579881,xml,True,True,2026-05-12
1999,14,2,885,507712,xml,True,True,2026-05-12
1999,14,3,356,194152,xml,True,True,2026-05-12
1999,14,4,604,337791,xml,True,True,2026-05-12
1999,14,5,496,279537,xml,True,True,2026-05-12
1999,15,1,521,294818,xml,True,True,2026-05-12
1999,15,2,740,438125,xml,True,True,2026-05-12
1999,15,3,505,270890,xml,True,True,2026-05-12
1999,16,1,656,353451,xml,True,True,2026-05-12
1999,16,2,763,410154,xml,True,True,2026-05-12
1999,17,1,612,378173,xml,True,True,2026-05-12
1999,17,2,697,439730,xml,True,True,2026-05-12
1999,17,3,933,596911,xml,True,True,2026-05-12
1999,18,1,1024,592535,xml,True,True,2026-05-12
1999,18,2,292,152606,xml,True,True,2026-05-12
1999,19,1,763,431845,xml,True,True,2026-05-12
1999,19,2,757,414170,xml,True,True,2026-05-12
1999,19,3,367,208463,xml,True,True,2026-05-12
1999,20,1,635,374459,xml,True,True,2026-05-12
1999,20,2,1080,694405,xml,True,True,2026-05-12
1999,21,1,503,284465,xml,True,True,2026-05-12
1999,21,2,588,353379,xml,True,True,2026-05-12
1999,21,3,622,351681,xml,True,True,2026-05-12
1999,21,4,214,111821,xml,True,True,2026-05-12
1999,21,5,367,205597,xml,True,True,2026-05-12
1999,21,6,591,334307,xml,True,True,2026-05-12
1999,21,7,195,100420,xml,True,True,2026-05-12
1999,21,8,718,433681,pdf,True,False,2026-05-12
1999,21,9,270,146318,xml,True,True,2026-05-12
1999,22,1,934,540962,xml,True,True,2026-05-12
1999,22,2,659,358454,xml,True,True,2026-05-12
1999,23,1,570,308499,xml,True,True,2026-05-12
1999,24,1,704,406987,xml,True,True,2026-05-12
1999,24,2,651,364488,xml,True,True,2026-05-12
1999,24,3,374,209473,xml,True,True,2026-05-12
