year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2001,5,2,615,365493,347783,xml,True,True,2026-06-23
2001,5,3,932,472042,456682,xml,True,True,2026-06-23
2001,7,1,545,316790,302771,xml,True,True,2026-06-23
2001,7,2,665,333285,317380,xml,True,True,2026-06-23
2001,7,3,476,254811,241104,xml,True,True,2026-06-23
2001,7,4,1058,661475,637829,xml,True,True,2026-06-23
2001,7,5,541,306542,290379,xml,True,True,2026-06-23
2001,7,6,796,539887,526438,xml,True,True,2026-06-23
2001,7,7,716,426724,411493,xml,True,True,2026-06-23
2001,7,8,875,518152,494573,xml,True,True,2026-06-23
2001,7,9,329,163614,141790,xml,True,True,2026-06-23
2001,7,10,909,526943,503628,xml,True,True,2026-06-23
2001,7,11,1184,651593,632213,xml,True,True,2026-06-23
2001,7,12,388,238780,226850,xml,True,True,2026-06-23
2001,7,13,711,448658,430869,xml,True,True,2026-06-23
2001,7,14,686,427651,408690,xml,True,True,2026-06-23
2001,7,15,608,321995,311373,xml,True,True,2026-06-23
2001,8,1,840,527318,504648,xml,True,True,2026-06-23
2001,9,1,921,557521,531726,xml,True,True,2026-06-23
2001,9,2,760,449366,433650,xml,True,True,2026-06-23
2001,10,1,913,533000,513865,xml,True,True,2026-06-23
2001,10,2,740,448729,432931,xml,True,True,2026-06-23
2001,10,3,793,356849,340999,xml,True,True,2026-06-23
2001,10,4,949,544139,531553,xml,True,True,2026-06-23
2001,11,1,437,223100,183245,xml,True,True,2026-06-23
2001,12,1,372,217975,205624,xml,True,True,2026-06-23
2001,12,2,448,271120,258070,xml,True,True,2026-06-23
2001,12,3,868,560822,547417,xml,True,True,2026-06-23
2001,12,4,568,336871,321383,xml,True,True,2026-06-23
2001,12,5,534,315840,287429,xml,True,True,2026-06-23
2001,12,6,1119,707816,707816,pdf,True,True,2026-06-23
2001,13,1,641,359137,343163,xml,True,True,2026-06-23
2001,14,1,1126,611204,520643,xml,True,True,2026-06-23
2001,14,2,905,523364,496216,xml,True,True,2026-06-23
2001,14,3,360,197679,185696,xml,True,True,2026-06-23
2001,14,4,614,334296,321890,xml,True,True,2026-06-23
2001,14,5,526,300662,289980,xml,True,True,2026-06-23
2001,15,1,510,287761,276340,xml,True,True,2026-06-23
2001,15,2,841,499773,472314,xml,True,True,2026-06-23
2001,15,3,557,306466,294268,xml,True,True,2026-06-23
2001,16,1,665,359496,346144,xml,True,True,2026-06-23
2001,16,2,808,435001,423304,xml,True,True,2026-06-23
2001,17,1,627,387015,372022,xml,True,True,2026-06-23
2001,17,2,725,457817,440928,xml,True,True,2026-06-23
2001,17,3,978,624144,603853,xml,True,True,2026-06-23
2001,18,1,1044,602193,580832,xml,True,True,2026-06-23
2001,18,2,310,163479,153274,xml,True,True,2026-06-23
2001,19,1,817,466717,420638,xml,True,True,2026-06-23
2001,19,2,783,433432,392809,xml,True,True,2026-06-23
2001,19,3,370,209207,198191,xml,True,True,2026-06-23
2001,20,1,643,377321,361888,xml,True,True,2026-06-23
2001,20,2,1119,720903,697485,xml,True,True,2026-06-23
2001,20,3,1169,707108,694081,xml,True,True,2026-06-23
2001,21,1,512,290375,275053,xml,True,True,2026-06-23
2001,21,2,614,371799,354161,xml,True,True,2026-06-23
2001,21,3,639,362276,344846,xml,True,True,2026-06-23
2001,21,4,227,118997,107866,xml,True,True,2026-06-23
2001,21,5,373,207477,191703,xml,True,True,2026-06-23
2001,21,6,614,348415,325506,xml,True,True,2026-06-23
2001,21,7,202,104264,91892,xml,True,True,2026-06-23
2001,21,8,738,408691,391291,xml,True,True,2026-06-23
2001,21,9,272,146513,133889,xml,True,True,2026-06-23
2001,22,1,1071,624644,610036,xml,True,True,2026-06-23
2001,22,2,582,311267,299941,xml,True,True,2026-06-23
2001,23,1,556,303397,286013,xml,True,True,2026-06-23
2001,24,1,788,457197,440238,xml,True,True,2026-06-23
2001,24,2,661,369558,332047,xml,True,True,2026-06-23
2001,24,3,372,207133,193237,xml,True,True,2026-06-23
2001,24,4,871,522313,494792,xml,True,True,2026-06-23
2001,24,5,376,218417,218417,pdf,True,False,2026-06-23
2001,25,1,1170,690235,679551,xml,True,True,2026-06-23
2001,26,1,596,391596,376438,xml,True,True,2026-06-23
